,id,kills,assists,arrow_accuracy,kit,position
252,ZachMeister,0,0,0.0,Knight,5
253,ypmat,4,0,,Scout,1
254,masli,3,0,,Scout,5
255,Wolf1275,1,0,0.33,Armorer,4
256,Tavi_Simpaticul,1,0,,Armorsmith,3
257,savaria1698,0,0,,Armorer,7
258,ExecutiveMo,0,0,,Scout,9
259,Comicly_,0,0,,Ecologist,12
260,Arcticgames,0,0,,Scout,6
261,Amanduzz,0,0,0.33,Enderman,8
262,gagevz,0,0,,Enderman,11
263,MrButterfish,0,0,,Scout,10
264,Mobile_Maho,3,0,0.31,Armorsmith,2
265,Hicks_,3,0,,Knight,5
266,KoLLinZ,3,0,,Scout,1
267,TigerDude69,1,0,,Knight,9
268,jeveryYT,1,0,,Frog,6
269,spyal,0,0,0.0,Armorer,7
270,Magicpan_T,0,0,0.67,Scout,11
271,IrfanGamer3,0,0,0.29,Armorer,3
272,RichardDavi_YT,0,0,,Ecologist,12
273,grieferknight,0,0,,Fisherman,10
274,vintegr001,0,0,,Scout,8
275,IPGGG,7,0,,Scout,1
276,ThePsychoDino,1,0,0.55,Scout,5
277,DabinOx,1,0,,Armorer,2
278,The_Cosmic_Meal,1,0,0.0,Knight,3
279,gagevz,1,0,0.33,Armorer,4
280,savaria1698,0,0,,Armorer,8
281,DarkeZzZz007,0,0,,Knight,10
282,KaptainKryptic,0,0,,Frog,7
283,Tavi_Simpaticul,0,0,,Pro,12
284,IronEevee,0,0,,Knight,9
285,CritParticles,0,0,0.0,Pig Rider,6
286,__cb,5,0,0.2,Scout,1
287,AdamHunt2001,2,0,,Frog,2
288,mistahmina,2,0,,Farmer,6
289,NoLems,1,0,0.5,Scout,3
290,Mobile_Maho,0,0,,Armorsmith,4
291,thediamonder11,0,0,,Knight,5
292,Big_Boy_Dumb,0,0,,Enderman,10
293,MouseGod_,0,0,,Armorer,8
294,Marco1683,0,0,,Baseball Player,12
295,CakeVoid,0,0,,Pro,11
296,lilj45,0,0,,Pyro,9
297,HarrietStevens98,6,0,,Scout,1
298,Ottobro37,1,0,,Frog,9
299,JR_Noodles,1,0,,Knight,5
300,zezzv,1,0,1.0,Enderman,2
301,Burbclave,0,0,,None,12
302,TechnobladeT_T,0,0,,Armorer,7
303,Zhnd,0,0,,Armorer,8
304,dff4pro,0,0,,Pharaoh,4
305,zFabioZ,0,0,,Knight,6
306,SayaTokido,0,0,0.43,Knight,3
307,Scarvy_,0,0,,Knight,10
308,BenMendoza1998,5,0,,Scout,1
309,LURCKS,2,0,,Scout,5
310,7CpsWave,2,0,0.8,Frog,3
311,TigerDude69,1,0,,Knight,2
312,DarkWolfie_37,0,0,,Knight,9
313,piloish,0,0,,Knight,8
314,IrfanGamer3,0,0,,Armorer,4
315,KoLLinZ,0,0,,Scout,6
316,Gamer_power_GT,0,0,,Grenade,12
317,smoothryan02,0,0,,Armorer,7
318,dbyrne06,0,0,,Knight,11
319,drizzels,4,0,,Scout,3
320,deoScrolls,2,1,,Knight,1
321,Luixillo,1,0,0.5,Scout,7
322,MiguessoXD_,1,0,,Armorer,2
323,NUTU420,1,0,,Ecologist,10
324,givemeoerflux,0,0,,Knight,12
325,Abaraltman,0,0,,Frog,8
326,Holymole_,0,0,,Scout,11
327,Squ1rell,0,0,,Knight,4
328,submission,0,0,0.0,Farmer,9
329,luccafm1,0,0,0.44,Cannoneer,5
330,vlad_bulevard,5,1,,Armorer,2
331,PufferPLS,2,0,,Armorer,3
332,masli,2,0,,Scout,5
333,xXKanyeWest69Xx,1,1,,Knight,7
334,Trop14Z,0,1,,Frog,6
335,Its_Ptv_YT,0,0,,Scout,10
336,Vilad7,0,0,,Scout,8
337,DuckBridger,0,0,,Knight,12
338,igbloo,0,0,,Armorer,9
339,_Icecloud,0,0,,Pharaoh,11
340,TheFinalDarkness,2,0,,Frog,4
341,dnosaur,2,1,0.2,Ecologist,2
342,Jenthia,2,0,0.27,Armorer,1
343,Caedes,1,0,,Knight,6
344,Fuziqn,1,0,,Knight,5
345,Burbclave,0,0,,None,12
346,_lxm,0,0,,Knight,10
347,1jp_,0,1,,Knight,7
348,scorpi1,0,0,0.0,Knight,8
349,Efe_Ozcan,0,0,0.0,Knight,9
350,s22d_,0,0,,Scout,11
351,Especialty,5,0,0.5,Scout,1
352,MEHTHELLAMA,2,0,,Scout,6
353,SupremeWildBlaze,1,0,,Knight,2
354,evannkun,1,0,,Frog,3
355,alexgaming894,0,0,,Knight,5
356,44D1,0,0,,Pharaoh,7
357,Andi0816,0,1,0.29,Hunter,4
358,Blu_Dog92,0,0,,Pro,11
359,CalamityTingle,0,0,,Princess,10
360,ForeverDeceased,0,0,,Knight,9
361,Peezio,0,0,,Knight,12
362,skydud,3,0,0.57,Armorer,1
363,Outdted,2,0,0.0,Knight,3
364,Rawmon,1,0,,Armorer,2
365,ColdedHeart,1,0,0.53,Enderman,7
366,DolphaZ,1,1,0.0,Armorer,5
367,DinoDied,0,0,,Knight,4
368,tonganteli,0,0,,Knight,10
369,AteFoodToday,0,0,0.6,Grenade,12
370,_Cocytus,0,0,,Scout,9
371,The_Man31,0,0,,Armorer,11
372,Erockk_,0,0,,Armorer,8
373,phombo333,4,0,0.67,Armorer,1
374,Floani,2,0,,Knight,5
375,cliquy,2,0,1.0,Ecologist,6
376,hasheym,1,0,,Armorer,11
377,TheCriscoKidd,1,0,0.0,Knight,2
378,rykaii_,1,0,,Enderman,3
379,UknownGamer,0,0,,Pro,12
380,Froggysheb,0,0,,Frog,7
381,ETSO88,0,0,,Healer,9
382,TW_Redwizard,0,0,,Pharaoh,8
383,Shauly,0,0,,Knight,10
384,WoodenPen,4,1,,Farmer,1
385,Tertale,3,0,,Scout,2
386,whybad,2,0,,Scout,3
387,PotCounter,1,0,,Knight,7
388,catisback,1,0,,Armorer,6
389,Smakkaralisko,0,0,0.0,Frog,11
390,Vinopro,0,0,,None,10
391,CitrusBlox,0,0,,Speleologist,4
392,DanimalManDan,0,1,,Farmer,5
393,BE_slayer,0,0,,Enderman,8
394,carpsu,0,0,0.0,Knight,12
395,_MrSloth,4,0,,Knight,2
396,xKolian,2,1,,Enderman,3
397,juno0725,2,0,,Frog,1
398,EVTron,1,0,,Armorer,5
399,Coreano,0,0,,Scout,6
400,needlesstwice,0,0,,Scout,10
401,goldenhotdog,0,1,0.67,None,4
402,MegaMaximusTR,0,0,,Pro,7
403,EmeraldLIVE,0,0,,Armorsmith,12
404,FyNchil,0,0,0.25,Scout,9
405,Bora_h,0,0,,Scout,11
406,Olly_boy,4,0,,Enderman,1
407,Especialty,2,0,,Scout,9
408,taikisavage,1,1,,Farmer,8
409,AMGEDPLAYTAP,1,0,,Frog,4
410,KilledHim,1,0,,Hunter,5
411,Darkbluewhitie,1,0,,Energix,2
412,IndyPlays,0,1,,Farmer,7
413,Pneunomia,0,0,,Pharaoh,6
414,Loyac,0,0,,Armorer,11
415,Lil_Dog_X,0,0,0.63,Knight,3
416,bigpape14,0,0,,Pharaoh,10
417,_cyte,4,0,,Knight,1
418,ETSO88,2,0,,Frog,5
419,qGhostly,1,0,,Scout,7
420,sheeshcarlos,1,0,0.24,Enderchest,2
421,Skeleterno,1,0,,Baseball Player,9
422,komitee,1,0,0.14,Ecologist,4
423,T1ms1K,0,0,,Scout,12
424,EVTron,0,0,0.35,Knight,3
425,Kaykaze,0,0,,Frog,10
426,Arjonito,0,0,,Knight,8
427,CAIONTOP,0,0,,Ecologist,6
428,Iamthewafflegod,4,0,0.0,Knight,1
429,CarloooX,2,0,0.38,Knight,3
430,Snickle,1,1,0.4,Enderman,4
431,Sebi_was_taken,1,0,,Armorer,7
432,Noahiii,0,0,,Pig Rider,10
433,Abdu___,0,0,0.3,Hunter,2
434,Mayonoise7,0,0,,Pharaoh,12
435,Super7H,0,0,,Cannoneer,9
